ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0,2019-04-22,2019-05-25,33,476,,,,,8,16,27,2019-11-21,,,
ATLAS,0xd36e9f8f194a47b10af16c7656a68eba1dfe88e4,1,2018-12-14,2019-05-18,155,483,x,,,,25,0,0,2019-11-14,,,
BANCOR,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0,2017-06-10,2017-06-12,2,1188,,,61.0,x,2,11,7,2017-12-09,,,
BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0,2019-09-09,2019-09-19,10,359,,,70.0,,3,2,64,2020-03-17,,,
BANKERA,0xc80c5e40220172b36adee2c951f26f2a577810c5,1,2018-05-17,2018-06-04,18,831,x,,,,33,0,0,2018-12-01,x,x,x
BANKEX,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,0,2017-11-28,2017-12-28,30,989,,,658.0,,17,18,0,2018-06-26,,,
BELANCE,0x7ce31d775ee8ae8058ed7e599e5f14bb1535f223,1,2018-10-24,2018-11-09,16,673,x,x,,x,21,0,0,2019-05-08,,,
BEZANT,0xe1aee98495365fc179699c1bb3e761fa716bee62,0,2018-05-01,2018-05-10,9,856,,,546.0,,66,0,0,2018-11-06,,,
BILLIONAIRE,0x49aec0752e68d0282db544c677f6ba407ba17ed7,1,2017-08-01,2017-09-21,51,1087,,,,,29,3,47,2018-03-20,x,,
BIOGRAFFI,0xa8daa52ded91f7c82b4bb02b4b87c6a841db1fd5,1,2018-03-02,2018-03-06,4,921,x,x,,x,60,0,3,2018-09-02,,,
BITAIR,0x02725836ebf3ecdb1cdf1c7b02fcbbfaa2736af8,1,2017-09-11,2017-12-16,96,1001,x,x,,x,15,66,0,2018-06-14,,,
BITCOINCROWN,0xc0c05862cca68b0b4c806796a6e7d965a6f18095,1,2018-03-25,2018-06-10,77,825,,x,,,10,0,7,2018-12-07,x,,
BITCOINRED,0x6aac8cb9861e42bf8259f5abdc6ae3ae89909e11,1,2017-10-20,2017-10-21,1,1057,x,,,,49,16,5,2018-04-19,,,
BITCOINMAX,0x135bacd9261b9b5d2aae6645168fee45d8e57547,1,2018-07-29,2018-10-06,69,707,x,x,,x,10,0,34,2019-04-04,x,,
